"player_api_id","num_appearences","num_leagues","player_name","overall_rating","gk_rating"
2625,90,1,"Patryk Rachwal,18",61,33
2752,81,1,"Diego Mainz",72,41
2768,71,1,"Jose Dorado",74,52
2770,16,2,"Ignacio Gonzalez",69,48
2790,50,1,"Alberto Rey",67,47
2796,1,1,"Javier Jimenez",69,259
2802,144,2,"Pablo Hernandez",76,41
2805,131,1,"Ruben Perez",76,45
2857,3,1,"Ivan Perez",65,40
2862,17,1,"Vicente Sanchez",72,38
2907,6,1,"Gregory Lacombe",65,31
2973,16,1,"Ugur Inceman",68,36
2977,5,1,"David Rivas Rodriguez",62,44
2983,71,1,"Jorge Molina",75,49
2984,38,1,"Sergio Aragones",65,253
3140,42,1,"Alexandre Hauw",66,38
3204,42,1,"Marat Izmailov",73,45
3263,19,1,"Kelly Berville",67,109
3264,1,1,"Abdelmalek Cherrad",62,36
3316,6,1,"Oscar Sanchez",67,33
3329,85,1,"Vincent Euvrard",64,48
3377,1,1,"Luca Belingheri",68,39
3441,74,1,"Aleksander Radosavljevic",65,53
3512,4,1,"Peter Halmosi",65,46
3517,17,1,"Alexandr Kerzhakov",77,55
3520,70,1,"Andrey Arshavin",75,46
4747,36,1,"Lee Wilkie",73,117
4863,25,1,"Boban Grncarov",66,48
4902,68,1,"Iriney",69,30
4939,97,1,"Tim Clancy",57,53
4999,49,1,"Sebastian Olszar",57,38
5016,69,1,"Ibrahim Sidibe",65,37
5044,21,1,"Jeroen Verhoeven",65,273
5047,10,1,"Wilko de Vogt",61,251
5063,106,1,"Sander Duits",67,52
5184,5,1,"Gudmundur Steinarsson",62,100
5192,52,1,"Manuel Silas",72,35
5202,163,1,"Remy Gomis",71,40
5217,102,1,"Laurent Batlles",73,42
5223,7,1,"Raffaele Rubino",62,43
5233,18,1,"Iban Javier Cuadrado",63,44
5243,38,1,"Julio Alvarez",69,42
5247,16,1,"Perez Richi",64,51
5272,27,1,"Gary Coulibaly",67,36
5362,24,1,"Ifet Taljevic,23",60,119
5440,5,1,"Marjan Petkovic",65,257
5468,7,1,"Freddy Mombongo-Dues",61,36
5610,141,1,"Yann Jouffre",75,44
5629,3,1,"Bertrand Robert",68,34
