"team_api_id","num_fielded_players","team_long_name","buildUpPlay","chanceCreation","defence"
1601,55,"Ruch Chorzów",133,176,136
1773,55,"Oud-Heverlee Leuven",153,157,137
1957,64,"Jagiellonia Białystok",158,152,162
2033,87,"S.C. Olhanense",147,134,105
2182,60,"Lech Poznań",147,196,153
2183,35,"P. Warszawa",79,131,139
2186,49,"Cracovia",125,165,157
4087,56,"Évian Thonon Gaillard FC",149,164,140
4170,31,"US Boulogne Cote D'Opale",86,154,155
6269,28,"Novara",179,168,138
6351,25,"KAS Eupen",105,160,155
6391,23,"GFC Ajaccio",153,163,141
6403,101,"FC Paços de Ferreira",142,169,139
6413,53,"PEC Zwolle",136,165,181
6421,37,"Leixões SC",60,165,90
6433,31,"Go Ahead Eagles",160,131,141
6493,36,"AC Bellinzona",101,148,138
6547,23,"FC Penafiel",147,146,121
6631,26,"FC Dordrecht",134,176,164
7730,53,"FC Lausanne-Sports",141,164,145
7788,53,"SC Cambuur",136,134,138
7794,64,"SC Bastia",174,156,147
7819,76,"SM Caen",157,155,136
7841,99,"Rio Ave FC",157,177,153
7842,56,"Estoril Praia",167,139,150
7844,109,"Vitória Guimarães",131,173,141
7869,31,"Córdoba CF",141,171,129
7878,85,"Granada CF",166,175,155
7943,47,"Sassuolo",182,169,138
7955,50,"Neuchâtel Xamax",99,121,116
8019,35,"Górnik Łęczna",140,139,149
8020,63,"Polonia Bytom",84,122,162
8021,52,"Zagłębie Lubin",133,149,148
8023,40,"Pogoń Szczecin",119,144,158
8024,44,"Widzew Łódź",190,184,139
8025,53,"Śląsk Wrocław",140,157,139
8027,36,"Zawisza Bydgoszcz",145,147,143
8028,55,"Piast Gliwice",183,169,129
8030,74,"Lechia Gdańsk",162,183,149
8031,16,"Polonia Bytom",84,122,162
8033,59,"Podbeskidzie Bielsko-Biała",189,166,102
8066,81,"Inverness Caledonian Thistle",127,174,139
8121,26,"Angers SCO",159,140,139
8152,25,"FC St. Pauli",160,153,140
8165,63,"1. FC Nürnberg",153,162,114
8177,78,"Hertha BSC Berlin",146,172,152
8178,70,"Bayer 04 Leverkusen",157,192,183
8191,42,"Burnley",153,176,183
8194,25,"Fortuna Düsseldorf",156,178,165
8197,30,"Leicester City",164,157,178
8203,70,"KV Mechelen",134,150,145
8226,88,"TSG 1899 Hoffenheim",171,187,162
8234,23,"FC Ingolstadt 04",152,151,134
8242,8,"Odra Wodzisław",75,155,205
8244,16,"Widzew Łódź",190,184,139
8245,59,"Korona Kielce",178,153,135
8262,21,"SV Darmstadt 98",179,174,129
8277,84,"Vitesse",145,161,180
8284,55,"Dundee FC",142,158,146
8295,25,"Karlsruher SC",153,146,119
8302,104,"Sevilla FC",159,165,149
8305,86,"Getafe CF",113,143,134
8306,25,"UD Las Palmas",147,148,149
8315,57,"Athletic Club de Bilbao",131,146,156
8322,12,"Arka Gdynia",83,147,140
8342,90,"Club Brugge KV",139,146,158
8344,26,"Cardiff City",168,154,113
8348,57,"Moreirense FC",139,144,138
8350,37,"1. FC Kaiserslautern",155,167,145
8357,30,"SpVgg Greuther Fürth",167,149,170
8358,70,"SC Freiburg",151,144,144
8370,81,"Rayo Vallecano",125,135,169
8371,66,"CA Osasuna",143,168,168
8372,41,"SD Eibar",165,166,142
8388,21,"CD Numancia",137,152,158
8394,70,"Real Zaragoza",154,165,140
8398,20,"FC Energie Cottbus",126,175,154
8406,59,"FC Augsburg",165,166,143
8426,43,"Partick Thistle F.C.",143,160,141
8429,79,"Hamilton Academical FC",143,197,155
8455,72,"Chelsea",144,119,126
8456,76,"Manchester City",123,98,149
8457,26,"Dunfermline Athletic",115,168,148
8460,22,"SC Paderborn 07",175,160,108
8462,44,"Portsmouth",148,149,123
8464,96,"N.E.C.",150,156,141
8466,47,"Southampton",129,126,159
8467,82,"St. Johnstone FC",162,136,140
8472,102,"Sunderland",137,164,141
8475,76,"Waasland-Beveren",132,140,94
8479,21,"RC Recreativo",118,109,143
8481,55,"AS Nancy-Lorraine",146,172,139
8483,27,"Blackpool",162,166,131
8485,93,"Aberdeen",176,186,157
8521,47,"Stade Brestois 29",161,168,129
8524,101,"Atalanta",146,138,148
8525,100,"Willem II",150,153,135
8526,61,"De Graafschap",78,150,136
8528,58,"Wigan Athletic",144,151,154
8529,74,"Cagliari",134,196,187
8530,69,"Catania",170,141,147
8533,99,"Chievo Verona",187,170,156
8534,37,"Empoli",145,186,160
8535,105,"Fiorentina",121,172,178
8537,55,"Livorno",183,134,126
8540,106,"Palermo",168,158,152
8543,76,"Lazio",188,220,190
8548,53,"Rangers",153,153,151
8549,24,"Middlesbrough",138,135,122
8550,26,"FC Metz",152,153,127
8551,76,"Siena",144,183,144
8558,100,"RCD Espanyol",146,152,122
8559,46,"Bolton Wanderers",152,170,145
8560,49,"Real Sociedad",162,166,155
8564,95,"Milan",170,171,164
